geo_aggregation_level,from,to,weight
1,236118,238320,0.481507823613087
1,236220,238320,0.324350336862368
1,237110,238320,0.370682392586352
1,237130,238320,0.279114533205005
1,237210,238320,0.270452358036574
1,237310,238320,0.346487006737247
1,237990,238320,0.345524542829644
1,238110,238320,0.418196328810854
1,238120,238320,0.252165543792108
1,238130,238320,0.440808469682387
1,238140,238320,0.494706448508181
1,238150,238320,0.279114533205005
1,238160,238320,0.384985563041386
1,238170,238320,0.434426229508197
1,238190,238320,0.379210779595765
1,238210,238320,0.406159769008662
1,238220,238320,0.453320500481232
1,238290,238320,0.281039461020212
1,238310,238320,0.380173243503369
1,111000,238330,0.329268292682927
1,112000,238330,0.32
1,113110,238330,0.246679316888046
1,113310,238330,0.369422092172641
1,114210,238330,0.295066413662239
1,115112,238330,0.320859320859321
1,115115,238330,0.32
1,115210,238330,0.369632856253889
1,115310,238330,0.294117647058824
1,212321,238330,0.297912713472486
1,221122,238330,0.323687752355316
1,221310,238330,0.333964049195837
1,236115,238330,0.436211340206186
1,236117,238330,0.436432637571158
1,236118,238330,0.470128022759602
1,236220,238330,0.309297912713473
1,237110,238330,0.366470092670598
1,237130,238330,0.321631878557875
1,237210,238330,0.255218216318786
1,237310,238330,0.341555977229602
1,237990,238330,0.328273244781784
1,238110,238330,0.42537909018356
1,238120,238330,0.255218216318786
1,238130,238330,0.4146110056926
1,238140,238330,0.472485768500949
1,238150,238330,0.261859582542694
1,238160,238330,0.366223908918406
1,238170,238330,0.457377049180328
1,238190,238330,0.385199240986717
1,238210,238330,0.389943074003795
1,238220,238330,0.462049335863378
1,238290,238330,0.268500948766603
1,238310,238330,0.347248576850095
1,238320,238330,0.507590132827325
1,113110,238340,0.254385964912281
1,114210,238340,0.243827160493827
1,115310,238340,0.256666666666667
1,212321,238340,0.242178447276941
1,221310,238340,0.242194891201514
1,236115,238340,0.3125
1,236117,238340,0.3580375782881
1,236118,238340,0.315789473684211
1,236220,238340,0.245405405405405
1,237110,238340,0.26284751474305
1,237210,238340,0.286549707602339
1,237310,238340,0.244444444444444
1,237990,238340,0.247357293868922
1,238110,238340,0.292098962490024
1,238120,238340,0.273391812865497
1,238130,238340,0.346916299559471
1,238140,238340,0.315028901734104
1,238150,238340,0.343567251461988
1,238160,238340,0.363417569193742
1,238170,238340,0.291803278688525
1,238190,238340,0.288954635108481
1,238210,238340,0.342763873775843
1,238220,238340,0.342235410484669
1,238310,238340,0.367156208277704
1,238320,238340,0.382098171318576
1,238330,238340,0.361480075901328
1,111000,238350,0.427439024390244
1,112000,238350,0.425294117647059
1,113310,238350,0.479151426481346
1,114210,238350,0.31114435302917
1,115112,238350,0.433818433818434
1,115115,238350,0.426111111111111
1,115210,238350,0.489110143123833
1,115310,238350,0.305908750934929
1,212321,238350,0.31264023934181
1,221122,238350,0.42328398384926
1,221310,238350,0.353777112939417
1,236115,238350,0.547680412371134
1,236117,238350,0.403141361256545
1,236118,238350,0.594594594594595
1,236220,238350,0.317127898279731
1,237110,238350,0.43605086013463
1,237130,238350,0.31413612565445
1,237210,238350,0.256544502617801
1,237310,238350,0.331338818249813
1,237990,238350,0.332086761406133
1,238110,238350,0.532535527299925
1,238120,238350,0.254300673148841
1,238130,238350,0.415108451757666
1,238140,238350,0.460732984293194
1,238150,238350,0.2490650710546
1,238160,238350,0.364248317127898
1,238170,238350,0.510097232610322
1,238190,238350,0.368735976065819
1,238210,238350,0.381451009723261
1,238220,238350,0.43455497382199
1,238290,238350,0.270755422587883
1,238310,238350,0.323111443530292
1,238320,238350,0.481675392670157
1,238330,238350,0.486910994764398
1,238340,238350,0.316379955123411
1,236117,238390,0.264091858037578
1,238110,238390,0.248204309656824
1,238120,238390,0.297709923664122
1,238130,238390,0.26431718061674
1,238140,238390,0.296724470134875
1,238150,238390,0.31496062992126
1,238160,238390,0.290012033694344
1,238170,238390,0.259016393442623
1,238190,238390,0.242603550295858
1,238210,238390,0.29379760609358
1,238220,238390,0.316518298714144
1,238290,238390,0.256563245823389
1,238310,238390,0.30173564753004
1,238320,238390,0.278152069297401
1,238330,238390,0.301707779886148
1,238340,238390,0.315789473684211
1,238350,238390,0.256544502617801
1,111000,238910,0.534776600644864
1,112000,238910,0.587747581759558
1,113110,238910,0.246890833717181
1,113310,238910,0.519115614923998
1,114210,238910,0.344081068631967
1,115112,238910,0.476278212805159
1,115115,238910,0.62229387379088
1,115210,238910,0.590511285122064
1,115310,238910,0.329801934592354
1,212321,238910,0.304007369875633
1,221122,238910,0.491478581298941
1,221310,238910,0.358820819898664
1,236115,238910,0.583141409488715
1,236117,238910,0.356517733763243
1,236118,238910,0.533394748963611
1,236220,238910,0.287885766927683
1,237110,238910,0.416858590511285
1,237130,238910,0.303546752648549
1,237310,238910,0.315522800552741
1,237990,238910,0.340856748042377
1,238110,238910,0.43666513127591
1,238130,238910,0.336711192998618
1,238140,238910,0.373560571165362
1,238160,238910,0.282818977429756
1,238170,238910,0.428834638415477
1,238190,238910,0.36480884385076
1,238210,238910,0.314601566098572
1,238220,238910,0.347305389221557
1,238290,238910,0.265776140027637
1,238310,238910,0.26715799170889
1,238320,238910,0.38093044679871
1,238330,238910,0.375403040073699
1,238340,238910,0.245508982035928
1,238350,238910,0.497927222478121
1,111000,238990,0.446951219512195
