geo_aggregation_level,geoid,name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
1,48281,Lampasas County,124,-0.414281602279917,39.83,-15.9228323922672,15.91
1,48283,La Salle County,63,-0.821658092781494,21.16,-13.4453451864923,50.91
1,48285,Lavaca County,117,-0.821927997654372,21.13,-15.1328078046123,28.13
1,48287,Lee County,102,-0.665017098414038,28.09,-13.5095201667934,50.33
1,48289,Leon County,89,-1.2113982930756,8.27,-15.2141115685281,26.95
1,48291,Liberty County,155,-0.419574609066484,39.58,-8.75703422549288,85.27
1,48293,Limestone County,88,-0.803182712423705,21.92,-15.8332914780556,17.31
1,48295,Lipscomb County,66,-1.27974890392705,7,-13.7371245666561,47.79
1,48297,Live Oak County,84,-1.09116899603455,11.36,-15.6666794412422,19.5
1,48299,Llano County,127,-0.210762565578506,48.3,-14.117365229124,42.98
1,48301,Loving County,24,-1.13095319271691,10.12,-7.82266481458567,89.15
1,48303,Lubbock County,227,0.980259449637522,82.37,-5.70368426568218,94.72
1,48305,Lynn County,73,-0.46572961412276,37.61,-12.3344865529578,62.04
1,48307,McCulloch County,91,-0.993694080371254,14.54,-17.4047524586633,2.67
1,48309,McLennan County,217,1.16938086379029,85.81,-7.5708307471182,89.95
1,48311,McMullen County,68,-0.256308395600653,46.61,-12.2075956347279,63.09
1,48313,Madison County,73,-0.885132467418153,18.58,-16.9181537272403,5.03
1,48315,Marion County,84,-0.516656654458995,35.35,-15.525453957386,21.86
1,48317,Martin County,78,-0.947778632230505,16.19,-13.853739168565,46.39
1,48319,Mason County,112,-0.651635278134752,28.48,-12.4791786058534,60.52
1,48321,Matagorda County,126,-0.42447331094814,39.42,-13.8133732157705,46.93
1,48323,Maverick County,117,0.158789850997571,62.17,-13.9721525852469,45.31
1,48325,Medina County,136,-0.794616938970576,22.21,-11.0855435965945,72.1
1,48327,Menard County,84,-0.674520260246921,27.62,-13.8495450726468,46.45
1,48329,Midland County,146,0.849133525484334,79.73,-6.62118098497668,92.87
1,48331,Milam County,120,-0.53350729509148,34.46,-12.6069487822409,59.31
1,48333,Mills County,93,-0.956506072025083,15.88,-15.1360522771384,28.09
1,48335,Mitchell County,66,-1.25059963615901,7.51,-15.7490164720045,18.49
1,48337,Montague County,138,-0.751883092909872,24.09,-10.1922224424313,77.89
1,48339,Montgomery County,253,1.09924427505523,84.63,0.484621715182578,99.3
1,48341,Moore County,72,-1.4136785326597,4.71,-14.1448614478109,42.63
1,48343,Morris County,76,-0.848383949170497,20.01,-16.0863047144471,14.03
1,48345,Motley County,93,-0.365622175789732,42.09,-16.7290266189996,6.84
1,48347,Nacogdoches County,149,0.13805679789923,61.22,-11.2902684824991,70.35
1,48349,Navarro County,161,0.0183881023825362,56.86,-9.31817499352159,82.72
1,48351,Newton County,89,-1.34278234566824,5.82,-17.7097222761925,1.53
1,48353,Nolan County,97,-0.751512393786732,24.15,-14.3296597130731,40.47
1,48355,Nueces County,220,1.02052883983101,83.01,-3.25219410916109,97.49
1,48357,Ochiltree County,79,-1.28928975303078,6.71,-14.281774067249,40.95
1,48359,Oldham County,50,-1.40321195578571,4.84,-15.987283411708,15.21
1,48361,Orange County,155,0.369766051768508,68.85,-12.6754024726894,58.8
1,48363,Palo Pinto County,141,0.00674640738163021,56.47,-11.4017490334036,69.49
1,48365,Panola County,116,-0.80398005912731,21.86,-14.4933825025574,37.99
1,48367,Parker County,250,0.452595767223575,71.3,6.96053556621791,99.9
1,48369,Parmer County,50,-0.964329597881767,15.56,-11.0569600016651,72.35
1,48371,Pecos County,109,-0.874209786423771,18.99,-14.1910066161792,41.9
1,48373,Polk County,133,-0.64492042228459,28.79,-14.2705515221065,41.17
1,48375,Potter County,207,0.783894079325201,78.81,-3.99137740606485,96.82
1,48377,Presidio County,85,-0.551361244911181,33.57,-15.0082715033109,30.16
1,48379,Rains County,109,-0.600473847124552,30.8,-15.4913373940779,22.46
1,48381,Randall County,209,0.302935401346639,66.47,-3.616353542712,97.14
1,48383,Reagan County,65,-0.66937776014258,27.87,-12.8723617576533,56.89
1,48385,Real County,72,-0.652840297133596,28.41,-15.9901317196516,15.11
1,48387,Red River County,94,-1.0557023679266,12.54,-15.3754123152834,24.56
1,48389,Reeves County,89,-0.6699451027286,27.81,-15.6711110597174,19.44
1,48391,Refugio County,75,-1.29915519724357,6.59,-16.1146233569493,13.65
1,48393,Roberts County,75,-0.153219268486045,50.14,-15.5298626142287,21.76
1,48395,Robertson County,91,-0.86975938710726,19.19,-14.4402443290934,38.85
1,48397,Rockwall County,210,1.08149101388561,84.25,-8.74261349272838,85.33
1,48399,Runnels County,89,-1.57875852386511,2.77,-15.0164038992004,30.07
1,48401,Rusk County,134,-0.429276545581289,39.2,-11.4116495409676,69.42
1,48403,Sabine County,97,-1.12943433257916,10.21,-16.9827094249196,4.65
1,48405,San Augustine County,70,-1.81876053384842,0.83,-18.8755142814758,0.22
1,48407,San Jacinto County,142,-0.588522142481363,31.4,-11.5570804155222,68.44
1,48409,San Patricio County,135,-0.217190042110711,47.92,-11.7595283223971,66.72
1,48411,San Saba County,91,-1.11358042431965,10.82,-16.348707753062,11.01
1,48413,Schleicher County,79,-1.00675658195181,14,-17.4575723050427,2.48
1,48415,Scurry County,91,-0.804715727789511,21.83,-14.5511892914162,37.19
1,48417,Shackelford County,73,-0.638518716285294,29.3,-13.9516031925288,45.5
1,48419,Shelby County,106,-1.24148602333916,7.7,-14.7723861898568,33.92
1,48421,Sherman County,44,-1.62613281748947,2.45,-13.2932345908829,52.43
1,48423,Smith County,223,0.80991055607082,79.26,-6.46150807716214,93.35
1,48425,Somervell County,92,-0.677714697463335,27.49,-16.1848971110785,12.66
1,48427,Starr County,116,-0.640530523319534,29.11,-14.849246601394,32.9
1,48429,Stephens County,89,-0.773804644075478,23.39,-14.7111542803339,34.68
1,48431,Sterling County,49,-0.661595215582261,28.25,-10.7752339638912,74.42
1,48433,Stonewall County,92,-0.118875946212551,51.73,-16.1333641010434,13.36
1,48435,Sutton County,67,-1.14305061677039,9.93,-16.2249848748451,12.15
1,48437,Swisher County,81,-1.07729599996906,11.77,-14.9724529194402,30.89
1,48439,Tarrant County,315,2.05223768221332,95.64,-7.27999645139544,90.96
1,48441,Taylor County,187,0.878111541733611,80.37,-10.4625103509794,76.33
1,48443,Terrell County,59,-0.520315598100062,35.03,-15.4245525471013,23.77
1,48445,Terry County,95,-1.03185242999352,13.3,-14.9322788559094,31.47
1,48447,Throckmorton County,72,-0.53135700052868,34.49,-13.645453288743,48.97
1,48449,Titus County,109,0.239015311701249,64.68,-14.7607098828745,34.14
1,48451,Tom Green County,193,0.50369440933115,72.48,-5.88066660904613,94.18
1,48453,Travis County,272,2.8501236582925,99.52,-15.1118373270726,28.54
1,48455,Trinity County,111,-0.926125461499307,16.89,-16.4774735599145,9.42
1,48457,Tyler County,101,-0.90228309905586,17.85,-15.4466569459514,23.42
1,48459,Upshur County,125,-0.689037689529616,26.95,-12.8678373928111,56.95
1,48461,Upton County,43,-1.52348099345046,3.15,-10.0587361570047,78.68
1,48463,Uvalde County,140,-0.385068738210102,41.01,-10.8971512448566,73.31
1,48465,Val Verde County,113,0.22336096078234,64.27,-16.2898646754108,11.45
1,48467,Van Zandt County,178,-0.0231413218303449,55.23,-4.71461451597937,96.05
1,48469,Victoria County,210,0.36165621404001,68.53,-3.67609257551476,97.07
1,48471,Walker County,97,-0.296778788801984,44.61,-17.0702451058612,4.2
1,48473,Waller County,137,0.771434038415429,78.4,-8.38668061691204,86.7
1,48475,Ward County,86,-0.73352307634655,25.01,-14.3775715619227,39.61
1,48477,Washington County,150,0.162301037036802,62.27,-10.9191107036985,73.15
1,48479,Webb County,157,1.03258852739621,83.3,-11.4108077061675,69.46
1,48481,Wharton County,140,-0.691405456866335,26.85,-9.15082088694533,83.55
1,48483,Wheeler County,84,-1.10942448651235,10.94,-15.3573048211101,24.91
1,48485,Wichita County,166,0.840150809374437,79.61,-11.1193077644529,71.84
1,48487,Wilbarger County,80,-0.89612441040223,18.2,-14.9363761910371,31.31
1,48489,Willacy County,83,-0.899149216385916,17.98,-14.5698634098968,36.75
1,48491,Williamson County,237,1.75177345667202,93.7,-9.84073921435064,79.86
1,48493,Wilson County,158,-0.415381848166663,39.74,-7.33774408711468,90.84
1,48495,Winkler County,63,-0.828669901260495,20.81,-12.9452771485315,55.68
1,48497,Wise County,178,-0.00680171150583342,55.9,-3.50908159907583,97.26
1,48499,Wood County,174,-0.565546370881986,32.74,-2.56634743317258,98.09
1,48501,Yoakum County,78,-1.11517750667598,10.72,-14.4434712289201,38.78
1,48503,Young County,118,-0.551079593336577,33.63,-12.5539944963497,59.91
1,48505,Zapata County,94,-0.629557738770849,29.81,-16.118355893784,13.59
1,48507,Zavala County,75,-1.15607036155855,9.51,-15.660451502881,19.66
1,49001,Beaver County,88,-0.929845464695715,16.83,-16.4190606108291,10.24
1,49003,Box Elder County,136,0.14055936097954,61.44,-13.0433064489385,54.76
1,49005,Cache County,206,1.2840062570097,87.75,-8.27108471310565,87.27
1,49007,Carbon County,112,-0.175418238748303,49.44,-17.4634795878657,2.39
1,49009,Daggett County,68,0.159602646285989,62.23,-11.7495402743557,66.85
1,49011,Davis County,242,1.59980645302714,92.24,-9.58254218169354,81.29
1,49013,Duchesne County,123,-0.645945739398042,28.73,-12.2186913554619,62.97
1,49015,Emery County,73,-1.20940441877901,8.34,-16.980446403127,4.68
1,49017,Garfield County,74,-0.377444198771146,41.39,-15.3591813162453,24.85
1,49019,Grand County,108,0.625489038875759,75.31,-14.3902164153615,39.39
1,49021,Iron County,189,0.528457486417696,73.02,-7.50448504137127,90.33
1,49023,Juab County,103,-0.148536407183414,50.37,-14.7951110542614,33.53
1,49025,Kane County,96,-0.0725061926805869,53.52,-16.2944545494684,11.39
1,49027,Millard County,95,-0.818011542600137,21.44,-15.3967472364522,24.24
1,49029,Morgan County,125,0.174051208614176,62.68,-13.6350039992989,49.19
1,49031,Piute County,45,-0.680053428843452,27.33,-12.9323948306258,55.87
1,49033,Rich County,86,0.0903523213064286,59.62,-12.4698447696229,60.64
1,49035,Salt Lake County,353,2.47228460420682,98.31,-17.8724686796654,1.18
1,49037,San Juan County,90,-0.68675248461486,27.11,-15.1660162005838,27.78
1,49039,Sanpete County,142,-0.310361510974484,44.29,-9.99764592941289,79.1
1,49041,Sevier County,140,-0.320366139082547,43.91,-15.5068522322906,22.18
1,49043,Summit County,172,1.4141772156922,89.82,-8.5230575709117,86.1
