geo_aggregation_level	industry_code	industry_description	industry_ubiquity	industry_employment_share_nation	industry_complexity	industry_complexity_percentile
3	334515	Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals	72	0.000209368180318262	1.04252284145051	85.1
3	334516	Analytical Laboratory Instrument Manufacturing	69	0.000257514027691027	2.4433448672905	97.36
3	334517	Irradiation Apparatus Manufacturing	27	7.70803945130278e-05	3.24259688560148	99.58
3	334519	Other Measuring and Controlling Device Manufacturing	91	0.000236094202349683	1.1170774192479	86.36
3	334610	Manufacturing and Reproducing Magnetic and Optical Media	57	6.70186983028729e-05	2.08959647641101	96.62
3	335131	Residential Electric Lighting Fixture Manufacturing	72	3.86520576191696e-05	0.730660601349977	79.28
3	335132	Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing	84	0.000105963313793603	0.375197885969095	71.04
3	335139	Electric Lamp Bulb and Other Lighting Equipment Manufacturing	63	6.71219540222474e-05	0.467855934988493	73.78
3	335210	Small Electrical Appliance Manufacturing	60	5.98424258063486e-05	0.203339590900678	64.06
3	335220	Major Household Appliance Manufacturing	48	0.000289075859246484	-0.72673309883541	23.78
3	335311	Power, Distribution, and Specialty Transformer Manufacturing	69	0.000194912379605839	-0.449193036446719	35.1
3	335312	Motor and Generator Manufacturing	107	0.000209890195343989	-0.391378223861888	37.74
3	335313	Switchgear and Switchboard Apparatus Manufacturing	104	0.00025689449337478	-0.147391646234381	49.37
3	335314	Relay and Industrial Control Manufacturing	95	0.000249282252285342	-0.112984205284772	51.48
3	335910	Battery Manufacturing	65	0.000321630092993707	-0.176071425375053	47.99
3	335921	Fiber Optic Cable Manufacturing	43	6.98410212991079e-05	1.60321193752096	92.81
3	335929	Other Communication and Energy Wire Manufacturing	71	7.52160551354335e-05	0.826908875043156	80.66
3	335931	Current-Carrying Wiring Device Manufacturing	94	0.000169218914768163	0.273628403550679	67.02
3	335932	Noncurrent-Carrying Wiring Device Manufacturing	51	6.67318768601661e-05	0.233726944965508	65.33
3	335991	Carbon and Graphite Product Manufacturing	52	5.9693278656141e-05	0.840542663128775	80.87
3	335999	All Other Miscellaneous Electrical Equipment and Component Manufacturing	129	0.000219395457955292	0.607569673555279	76.32
3	336110	Automobile and Light Duty Motor Vehicle Manufacturing	40	0.00145571634102757	0.0403200211649226	57.61
3	336120	Heavy Duty Truck Manufacturing	54	0.0002296005648868	-0.184243663219067	47.46
3	336211	Motor Vehicle Body Manufacturing	147	0.000359324166994236	-1.27844450100553	7.29
3	336212	Truck Trailer Manufacturing	137	0.000242960707688084	-1.54041663625664	3.91
3	336213	Motor Home Manufacturing	17	9.45879753758514e-05	-0.656915892775884	26.64
3	336214	Travel Trailer and Camper Manufacturing	111	0.000255282556866768	-1.19856289311299	9.41
3	336310	Motor Vehicle Gasoline Engine and Engine Parts Manufacturing	136	0.000335896591553944	-1.11382387019049	11.1
3	336320	Motor Vehicle Electrical and Electronic Equipment Manufacturing	116	0.000352165103784274	-0.97142264949804	15.54
3	336330	Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing	78	0.00018401316478298	-0.661246618135737	26.53
3	336340	Motor Vehicle Brake System Manufacturing	59	0.000118933379432805	-0.235146065195267	45.45
3	336350	Motor Vehicle Transmission and Power Train Parts Manufacturing	97	0.000452977104466863	-0.915587096160086	16.81
3	336360	Motor Vehicle Seating and Interior Trim Manufacturing	97	0.000434683632851023	-0.863736854917496	18.6
3	336370	Motor Vehicle Metal Stamping	102	0.000477339717810379	-1.02122093418396	14.16
3	336390	Other Motor Vehicle Parts Manufacturing	189	0.000890660889608599	-1.23333958314365	8.03
3	336411	Aircraft Manufacturing	56	0.00146734408231491	0.47049350314904	73.89
3	336412	Aircraft Engine and Engine Parts Manufacturing	81	0.000529937033973954	0.446676193464692	73.26
3	336413	Other Aircraft Parts and Auxiliary Equipment Manufacturing	112	0.000605204716969075	0.356090954114624	70.51
3	336414	Guided Missile and Space Vehicle Manufacturing	24	0.000468385152369073	3.04524564538796	99.26
3	336415	Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing	26	0.000112996175568774	1.4743068510178	91.23
3	336419	Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing	17	5.36700283592981e-05	1.91704095562925	95.67
3	336510	Railroad Rolling Stock Manufacturing	72	0.000130469337858473	-0.623879276329727	28.01
3	336611	Ship Building and Repairing	53	0.000623440824296374	0.391123923866666	71.35
3	336612	Boat Building	131	0.000256039765475514	-0.0858612478819389	52.43
3	336991	Motorcycle, Bicycle, and Parts Manufacturing	74	5.91081629130192e-05	0.920060073474588	82.98
3	336992	Military Armored Vehicle, Tank, and Tank Component Manufacturing	25	4.99126674598389e-05	1.04046154505131	84.99
3	336999	All Other Transportation Equipment Manufacturing	83	0.000122214616737371	-0.599284899878487	29.18
3	337110	Wood Kitchen Cabinet and Countertop Manufacturing	289	0.000730689098153304	-1.06569837856967	12.9
3	337121	Upholstered Household Furniture Manufacturing	48	0.000275216647134891	-0.877819197984563	17.97
